Day,Month,Rain,Wind
15,November,5,True
16,November,4,False
17,November,5,True
18,November,4,True
19,November,2,True
20,November,2,False
21,November,3,False
22,November,3,False
23,November,2,False
24,November,6,False
25,November,1,True
26,November,5,True
27,November,5,True
28,November,5,False
29,November,1,True
30,November,5,True
1,December,3,True
2,December,6,True
3,December,4,True
4,December,4,False
5,December,5,True
6,December,5,False
7,December,4,True
8,December,6,False
9,December,6,False
10,December,1,True
11,December,4,True
12,December,5,True
13,December,2,True
14,December,3,True
15,December,5,True
16,December,6,True
17,December,3,True
18,December,3,False
19,December,5,True
20,December,5,False
21,December,6,False
22,December,5,False
23,December,3,True
24,December,4,True
25,December,6,True
26,December,4,True
27,December,5,False
28,December,3,True
29,December,5,False
30,December,5,False
31,December,5,False
1,January,3,False
2,January,3,False
3,January,4,False
4,January,6,True
5,January,4,True
6,January,4,True
7,January,2,True
8,January,3,True
9,January,2,True
10,January,5,False
11,January,3,False
12,January,1,False
13,January,3,True
